seed,auc,accuracy,f1,precision,recall,oob_score,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc
30,0.9539903031616959,0.891008844555241,0.8986614134629036,0.8712067750131776,0.9299057756231025,0.9273791484960068,0.9455753612488135,0.983685190865485,0.9430405117270789,0.9436601488054059
31,0.9539330038079885,0.8910020190402249,0.8984934759127192,0.8719862823563543,0.9289027696110783,0.9240037964770071,0.9448075097563549,0.9838096635237319,0.9422942430703625,0.9448205988815047
32,0.9538181632659328,0.8902299048423302,0.897600716541582,0.8728834402268515,0.9259007616030465,0.9268616537573878,0.944461554688324,0.9851477445998871,0.9417398720682303,0.9439234817072899
33,0.9542162883792907,0.8915122997681058,0.8987191374200026,0.8737052525844883,0.9273997635990545,0.9259938243505094,0.9442463875118658,0.9840319361277445,0.9439402985074627,0.9446465313700899
34,0.9536425958862073,0.8915082501802492,0.8988205567677637,0.8729710532528467,0.9284037676150705,0.9261689483707315,0.9428878810252083,0.9807823106570822,0.944771855010661,0.9461283368518774
35,0.9541045565962332,0.8904583437644353,0.8978102454016355,0.8724895515682998,0.9269007616030465,0.9255691271602806,0.9437401118025525,0.9836896363175653,0.9443240938166312,0.9446643844481837
36,0.9542560286567046,0.8896921587645519,0.8972931483215457,0.8707323363716077,0.9279017636070543,0.9242615998505066,0.9436937031958654,0.9822626461998053,0.9443368869936034,0.9467308782375441
37,0.9535438077211539,0.8886129073886859,0.8959295357909159,0.8713155108574351,0.9243977515910065,0.9263412025501908,0.9442885771543086,0.9818492191563422,0.9424179104477612,0.9456195241262034
38,0.9538031595792775,0.8894243960965267,0.8969289548407258,0.8712610320305054,0.9264017596070384,0.9270392161298546,0.9455500474633477,0.9836051727280406,0.9433390191897655,0.9427183989359567
39,0.9542374084507299,0.8896875539912635,0.8972387334840346,0.8710835927654841,0.9274027616110465,0.9273926181119319,0.9441029427275603,0.9833028819865837,0.9426567164179105,0.9468870926708651
40,0.953818573790615,0.8889116805730592,0.8962984355309328,0.8716620758536346,0.9244027616110464,0.9266038873343431,0.9458791266744015,0.9840319361277444,0.9416673773987205,0.9436958549615935
41,0.9545866762360067,0.8891626389402005,0.8968502343535082,0.8700478812570906,0.9278997635990544,0.9271240566483477,0.944204197869423,0.9837163090300468,0.9455565031982942,0.9448696948462627
42,0.9550366524788141,0.890477582860906,0.8979183353402729,0.8722373934794421,0.9274037636150545,0.9266878890993486,0.9474232675878071,0.9836585181530035,0.9428784648187633,0.9461863593556823
43,0.954628809761217,0.8917874431365789,0.8990427282422145,0.8737562602832907,0.9279027696110784,0.9273037262166767,0.9453897268220652,0.9840408270319051,0.9435053304904051,0.9455793547004924
44,0.953104600397406,0.8894225164863718,0.896947978769236,0.8708565762556035,0.9269017636070545,0.9259081896355551,0.9425461449214217,0.982756091380713,0.9428400852878465,0.9442760799996428
45,0.953598323870888,0.8888996950993228,0.8964450853369986,0.8706335641155951,0.9263987575950303,0.9267789450663518,0.9458158422107371,0.9836940817696456,0.940089552238806,0.9447938192643639
46,0.9542339885620825,0.8917689732793992,0.8992126042744616,0.8724518665042371,0.9299027696110784,0.9261620710236266,0.9443138909397742,0.983538490946837,0.9453475479744137,0.9437360243873048
47,0.9544928701401663,0.8907304208382022,0.8981334812387454,0.8720145542198792,0.9279037676150704,0.9260810481449925,0.944128256513026,0.9830939457388119,0.9452324093816631,0.9455168689271639
48,0.9537346120823382,0.8902203541641804,0.8975909392919589,0.8723077618640883,0.9268977595910384,0.925218342877703,0.9430482016664907,0.9830139276013675,0.9450063965884862,0.9438699224730085
49,0.9541442726213645,0.8894251653358176,0.8969513958336596,0.8704456439716934,0.9273997635990545,0.9272096315808837,0.9451492458601413,0.9833384456032256,0.9433134328358209,0.94477596618627
50,0.9535117216180249,0.8909957487106407,0.8982742613386308,0.8727577566000493,0.9273997675990704,0.9244338540299657,0.943415251555743,0.9839252452778185,0.9415778251599147,0.9451285644786231
